"timestamp","cpu","ram","sockets","net_speed","threads","label"
"1767023769.0966523","6.4","87.2","1999","170941","4114","0"
"1767023771.0859725","4.6","86.2","1998","295301","4090","0"
"1767023773.345696","6.8","86.9","1998","45568","4091","0"
"1767023775.4888494","5.5","87.0","1998","795964","4080","0"
"1767023777.7122405","5.9","86.9","1998","298895","4078","0"
"1767023779.881413","5.6","86.6","1998","1084508","4077","0"
"1767023782.0884724","5.7","86.5","1996","547520","4071","0"
"1767023784.7712846","8.5","87.2","1998","904027","4074","0"
"1767023787.748926","8.7","87.8","1997","1158141","4076","0"
"1767023790.798363","9.1","85.8","1996","1475768","4054","0"
"1767023793.6138487","7.7","86.3","1993","1943756","4054","0"
"1767023796.2472777","7.0","87.4","2004","1372069","4072","0"
"1767023799.3835413","9.6","88.3","2010","1353149","4116","0"
"1767023801.9843364","6.5","88.4","2008","2082668","4156","0"
"1767023804.468932","9.2","89.4","2020","1670426","4153","0"
"1767023806.723877","4.6","89.4","2020","1544172","4148","0"
"1767023809.0708103","6.5","89.1","2020","850342","4144","0"
"1767023811.210495","5.7","88.9","2018","307522","4141","0"
"1767023813.2749162","4.6","87.9","2018","100377","4136","0"
"1767023815.2880201","5.5","87.4","2018","109134","4141","0"
"1767023817.67233","6.4","87.1","2018","127903","4141","0"
"1767023820.3296514","9.6","88.3","2020","1111164","4139","0"
"1767023822.6163158","6.1","88.3","2020","1738399","4141","0"
"1767023824.8450296","5.1","88.3","2016","891087","4138","0"
"1767023827.184414","5.9","88.3","2016","658200","4137","0"
"1767023829.7822912","9.1","88.5","2011","1198918","4130","0"
"1767023832.159831","5.8","88.2","2001","854464","4148","0"
"1767023834.525423","5.4","88.0","1996","838431","4147","0"
"1767023837.0370798","5.7","88.1","1995","949299","4144","0"
"1767023839.553711","7.3","88.2","1997","954118","4138","0"
"1767023841.7691917","5.6","88.2","1995","1078301","4136","0"
"1767023844.0701876","5.5","88.2","1995","1096445","4136","0"
"1767023846.5050404","5.9","88.0","1994","770239","4137","0"
"1767023849.0008805","6.9","87.2","1992","881943","4134","0"
"1767023851.5243857","6.1","87.3","1990","971852","4105","0"
"1767023854.3328772","12.7","87.2","1989","1298618","4104","0"
"1767023857.6137605","10.5","88.6","1993","1761834","4187","0"
"1767023860.7730837","12.4","89.5","1997","1937501","4244","0"
"1767023863.7367215","8.6","90.0","2000","1444886","4294","0"
"1767023866.3647907","8.4","90.1","2001","1149905","4278","0"
"1767023869.1347609","8.2","90.2","2001","1535708","4274","0"
"1767023871.75369","6.8","90.2","2001","1261509","4274","0"
"1767023874.7018507","8.6","90.6","2012","1053301","4273","0"
"1767023877.4906065","11.3","91.2","2019","1107657","4274","0"
"1767023879.7704003","5.6","91.0","2015","771351","4273","0"
"1767023882.3126965","6.5","90.9","2015","1056994","4262","0"
"1767023885.1356974","8.6","90.9","2013","1094625","4270","0"
"1767023888.331628","13.2","90.8","2022","1655129","4264","0"
"1767023891.8097217","7.9","90.1","2018","1135417","4235","0"
"1767023894.7399216","8.0","90.2","2017","1560070","4208","0"
"1767023897.5689926","7.2","90.5","2019","1817001","4204","0"
"1767023900.2973752","6.7","90.7","2017","1802470","4201","0"
"1767023902.9078598","6.0","91.2","2015","1741988","4203","0"
"1767023905.8352005","6.9","91.8","2006","1354193","4198","0"
"1767023909.1601338","8.5","91.5","2006","1638584","4189","0"
"1767023912.5408316","9.7","92.1","2006","1614217","4165","0"
