timestamp,cpu,ram,label
1769803247.101122,13.1,86.3,0
1769803248.102465,10.9,86.3,0
1769803249.1041622,15.1,86.3,0
1769803250.1063297,12.2,86.3,0
1769803251.1088011,11.1,86.3,0
1769803252.11061,10.1,85.6,0
1769803253.112335,14.5,85.6,0
1769803254.1154668,17.1,85.3,0
1769803255.1193252,21.4,85.4,0
1769803256.1216266,21.5,85.4,0
1769803257.127315,9.9,85.3,0
1769803258.1288617,8.7,85.3,0
1769803259.130577,10.0,85.3,0
1769803260.1323326,9.4,85.3,0
1769803261.1344082,20.6,85.6,0
1769803262.1365716,27.3,86.6,0
1769803263.1385443,39.1,86.7,0
1769803264.1412477,14.5,86.5,0
1769803265.142723,12.5,86.6,0
1769803266.1445935,12.3,86.6,0
1769803267.1461055,23.0,86.4,0
1769803268.1487477,20.7,86.4,0
1769803269.1502335,22.6,85.5,0
1769803270.1519368,13.0,85.5,0
1769803271.1537147,11.8,85.4,0
1769803272.1565201,11.6,85.3,0
1769803273.1589332,26.1,86.0,0
1769803274.1607862,11.6,86.0,0
1769803275.1622474,17.7,86.1,0
1769803276.1641002,9.9,86.0,0
1769803277.1667728,12.1,86.1,0
1769803278.1696205,17.2,86.0,0
1769803279.175243,18.3,86.1,0
1769803280.177266,18.3,86.0,0
1769803281.1787195,16.1,85.9,0
1769803282.1802726,11.7,85.9,0
1769803283.1824598,12.2,86.0,0
1769803284.1843054,17.6,86.0,0
1769803285.1863728,14.0,86.0,0
1769803286.1879964,12.0,86.0,0
1769803287.1902997,8.9,86.1,0
1769803288.1932201,10.6,86.1,0
1769803289.1949344,9.9,86.0,0
1769803290.1964939,11.2,86.0,0
1769803291.1983125,9.8,86.1,0
1769803292.2000515,14.3,85.9,0
1769803293.2020845,16.2,85.6,0
1769803294.2037911,12.1,85.6,0
1769803295.206367,12.4,85.6,0
1769803296.2073092,8.2,85.6,0
1769803297.2091107,13.9,85.7,0
1769803298.2111855,8.7,85.6,0
1769803299.2124095,19.4,85.8,0
1769803300.2144315,5.5,85.8,0
1769803301.2165234,11.7,85.6,0
1769803302.218478,13.5,85.6,0
1769803303.219641,15.1,85.2,0
1769803327.234842,25.0,86.8,1
1769803328.2366598,13.3,86.8,1
1769803329.2385519,10.5,86.8,1
1769803330.2400048,8.1,86.9,1
1769803331.2418218,13.6,86.9,1
1769803332.2433872,16.3,86.9,1
1769803333.2442899,11.2,86.8,1
1769803334.2463927,9.3,86.9,1
1769803335.2484317,14.6,87.0,1
1769803336.2505274,10.8,87.0,1
1769803337.2522914,10.2,87.0,1
1769803338.254527,13.6,87.1,1
1769803339.256073,16.3,87.0,1
1769803340.257542,9.5,87.0,1
1769803341.2595851,10.5,87.0,1
1769803342.2610948,9.4,87.0,1
1769803343.2633042,17.4,87.2,1
1769803344.2651625,20.8,87.3,1
1769803345.2675316,23.4,87.2,1
1769803346.2687407,15.1,87.2,1
1769803347.2700174,12.0,87.2,1
