"timestamp","cpu","ram","sockets","net_speed","threads","label"
"1767024242.7558873","6.3","87.8","2003","1034294","4289","0"
"1767024248.0575142","10.0","88.2","2012","191587","4321","0"
"1767024263.1856747","4.7","88.7","2003","127163","4335","0"
"1767024265.3367832","4.6","87.9","2003","73969","4326","0"
"1767024267.57373","5.0","88.0","2002","178785","4330","0"
"1767024273.7103488","4.6","86.9","1999","27778","4309","0"
"1767024282.2517385","4.4","86.6","1996","12178","4306","0"
"1767024284.7972522","10.9","88.4","2009","32689","4311","0"
"1767024287.2660408","11.4","89.4","2007","980121","4313","0"
"1767024289.5464892","5.5","88.7","2007","1422910","4260","0"
"1767024293.8578808","5.0","88.5","2006","60459","4237","0"
"1767024298.8461635","8.6","89.0","2011","1167652","4230","0"
"1767024301.0388787","5.5","89.0","2011","1599474","4229","0"
"1767024303.198064","5.9","89.0","2019","940533","4228","0"
"1767024305.311526","4.8","88.6","2016","68219","4223","0"
"1767024313.5484316","11.1","88.6","2049","968788","4232","0"
"1767024327.1845872","8.3","88.8","2050","1260152","4260","0"
"1767024334.872429","5.8","87.2","2044","438430","4242","0"
"1767024337.2714903","9.4","86.2","2028","229563","4241","0"
"1767024339.8439023","7.0","87.6","2027","1012441","4226","0"
"1767024342.1750913","6.3","86.2","2017","1501618","4273","0"
"1767024344.2648072","4.4","86.3","2017","342827","4274","0"
"1767024346.590463","9.3","87.7","2013","37232","4270","0"
"1767024348.9818501","11.9","87.8","2007","117889","4264","0"
"1767024355.2256775","4.6","87.7","2007","75","4247","0"
"1767024357.2919989","5.1","87.6","2005","1177","4224","0"
"1767024363.4865916","4.5","87.6","2005","1790","4218","0"
"1767024365.5596118","4.7","87.4","2005","258","4218","0"
"1767024367.6391063","4.6","87.4","2003","286","4218","0"
"1767024369.817525","7.2","87.6","1997","2277","4220","0"
"1767024371.908068","5.2","86.8","1997","0","4227","0"
"1767024373.9824052","4.6","86.8","1998","222051","4227","0"
"1767024388.901322","4.7","87.0","1998","23442","4199","0"
"1767024397.151057","4.8","86.1","1999","261","4176","0"
"1767024399.2485878","5.3","86.7","1999","3130","4188","0"
"1767024405.399919","4.3","86.9","2004","215452","4214","0"
"1767024407.9043646","9.0","87.1","2005","470710","4212","0"
"1767024410.9823978","9.0","87.0","2004","1498762","4201","0"
"1767024414.0568247","11.7","87.1","2005","1659749","4199","0"
"1767024416.8000998","8.0","87.1","2005","1322574","4197","0"
"1767024420.951687","4.6","87.0","2005","166881","4198","0"
"1767024427.0384061","4.8","87.1","2003","215701","4136","0"
"1767024429.3549712","8.7","87.0","2001","199453","4130","0"
"1767024431.3787172","4.6","87.0","1999","262302","4130","0"
"1767024438.110103","7.2","87.7","1992","728190","4141","0"
"1767024440.8089974","7.1","87.2","1990","1451608","4139","0"
"1767024446.038022","10.0","87.2","1989","1249502","4127","0"
"1767024456.0656097","8.5","86.1","1987","1186968","4095","0"
"1767024461.02118","9.9","87.6","1990","1158508","4150","0"
"1767024466.3085942","7.8","87.4","1990","1292882","4158","0"
"1767024471.2562318","6.7","87.2","1987","1215523","4141","0"
"1767024473.5161953","6.7","87.5","1987","1070219","4143","0"
"1767024479.6882772","4.0","87.5","1986","37001","4138","0"
"1767024481.7154408","4.8","87.6","1985","76451","4136","0"
